stride,lr,conv2,conv1,n_grams,kernel_size,max_pool1,max_pool2,linear2,momentum,linear1,samples,fold,result
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,4,8,81.666666666666671
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,4,9,77.222222222222229
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,5,0,76.944444444444443
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,5,1,76.388888888888886
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,5,2,74.722222222222229
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,5,3,77.777777777777771
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,5,4,77.777777777777771
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,5,5,80.0
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,5,6,78.055555555555557
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,5,7,73.888888888888886
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,5,8,78.611111111111114
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,5,9,78.611111111111114
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,6,0,73.333333333333329
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,6,1,78.333333333333329
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,6,2,77.777777777777771
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,6,3,80.277777777777771
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,6,4,75.555555555555557
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,6,5,78.055555555555557
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,6,6,76.111111111111114
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,6,7,75.277777777777771
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,6,8,75.277777777777771
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,6,9,80.0
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,7,0,81.111111111111114
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,7,1,77.777777777777771
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,7,2,76.111111111111114
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,7,3,77.777777777777771
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,7,4,76.944444444444443
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,7,5,77.777777777777771
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,7,6,76.944444444444443
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,7,7,79.166666666666671
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,7,8,78.333333333333329
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,7,9,73.888888888888886
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,8,0,79.166666666666671
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,8,1,79.722222222222229
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,8,2,81.111111111111114
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,8,3,78.611111111111114
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,8,4,75.555555555555557
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,8,5,77.222222222222229
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,8,6,76.111111111111114
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,8,7,75.0
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,8,8,76.388888888888886
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,8,9,75.277777777777771
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,9,0,79.444444444444443
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,9,1,78.611111111111114
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,9,2,78.055555555555557
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,9,3,77.222222222222229
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,9,4,76.666666666666671
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,9,5,74.722222222222229
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,9,6,76.388888888888886
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,9,7,76.388888888888886
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,9,8,79.722222222222229
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,9,9,77.777777777777771
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,10,0,75.833333333333329
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,10,1,76.388888888888886
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,10,2,78.333333333333329
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,10,3,80.0
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,10,4,80.0
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,10,5,73.611111111111114
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,10,6,77.777777777777771
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,10,7,79.722222222222229
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,10,8,77.777777777777771
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,10,9,76.666666666666671
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,11,0,76.388888888888886
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,11,1,78.055555555555557
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,11,2,79.166666666666671
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,11,3,76.666666666666671
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,11,4,78.611111111111114
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,11,5,79.166666666666671
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,11,6,79.166666666666671
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,11,7,76.388888888888886
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,11,8,77.222222222222229
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,11,9,74.722222222222229
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,12,0,75.833333333333329
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,12,1,79.166666666666671
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,12,2,79.444444444444443
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,12,3,78.333333333333329
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,12,4,75.555555555555557
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,12,5,79.444444444444443
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,12,6,75.0
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,12,7,77.777777777777771
1.0,0.01,20.0,10.0,2.0,5.0,2.0,2.0,648.0,0.5,6480.0,12,8,77.5
